﻿Age (bin),Churn Category,Churn Label,Churn Reason,Contract Type,Customer ID,Device Protection & Online Backup,Gender,Group,Grouped Monthly GB Download,Intl Active,Intl Plan,Number of Customers in Group,Payment Method,Phone Number,Senior,State,Under 30,Unlimited Data Plan,Account Length (in months),Age,Avg Customer Service Calls,Avg Extra Data Charges,Avg Extra Intl Charges,Avg Monthly GB Download,Churned,Customer Service Calls,Extra Data Charges,Extra International Charges,Intl Calls,Intl Mins,Local Calls,Local Mins,Monthly Charge,Number of Churned Customers,Total Charges
75,,No,,One Year,7343-GNPD,Yes,Female,No,10-May,No,no,0,Credit Card,353-3759,Yes,WY,No,Yes,60,77,0,$0.00 ,$0.00 ,8,0,0,$0 ,$0 ,0,0,233,595.4,$44.00 ,0,"2,639"
40,,No,,One Year,8190-LOMP,No,Female,No,0-5,No,no,0,Credit Card,340-5121,No,CO,No,Yes,63,43,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,128,316.7,$47.00 ,0,"2,999"
80,,No,,One Year,9766-ZUAF,Yes,Male,No,0-5,No,no,0,Direct Debit,370-7574,Yes,CO,No,Yes,65,82,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,0,0,241,456.7,$64.00 ,0,"4,167"
55,,No,,Two Year,0521-NSRI,No,Female,No,0-5,No,no,0,Credit Card,403-9733,No,WI,No,No,36,59,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,88,179.2,$12.00 ,0,440
40,,No,,Two Year,1260-SRKC,Yes,Female,No,10-May,No,no,0,Credit Card,355-7251,No,OK,No,No,73,43,0,$33.00 ,$0.00 ,7,0,0,$33 ,$0 ,0,0,460,"1,022.80",$37.00 ,0,"2,702"
30,,No,,Month-to-Month,5130-MPZE,Yes,Female,No,0-5,No,no,0,Direct Debit,359-5893,No,ID,No,Yes,47,33,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,178,421.5,$48.00 ,0,"2,254"
25,,Yes,,Month-to-Month,7466-XCMA,No,Male,No,>10,No,no,0,Direct Debit,405-3371,No,CA,Yes,Yes,61,29,0,$0.00 ,$0.00 ,13,1,0,$0 ,$0 ,0,0,107,242.5,$45.00 ,1,"2,717"
35,,No,,Two Year,2267-OQZH,Yes,Male,No,10-May,No,no,0,Direct Debit,344-5117,No,MN,No,Yes,70,35,0,$0.00 ,$0.00 ,9,0,0,$0 ,$0 ,0,0,187,492.5,$24.00 ,0,"1,715"
45,,No,,One Year,9314-HLWC,Yes,Female,No,0-5,No,no,0,Credit Card,332-8160,No,SD,No,Yes,18,46,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,36,123.2,$19.00 ,0,342
50,,No,,Month-to-Month,5957-MTAG,No,Female,No,10-May,No,no,0,Direct Debit,352-8305,No,WA,No,Yes,3,51,0,$0.00 ,$0.00 ,5,0,0,$0 ,$0 ,0,0,6,16.2,$46.00 ,0,149
35,,No,,One Year,6076-RCCT,No,Male,No,>10,Yes,yes,0,Direct Debit,329-9847,No,WY,No,Yes,46,35,0,$0.00 ,$0.00 ,15,0,0,$0 ,$0 ,184,427.8,300,740.2,$50.00 ,0,"2,325"
55,,No,,Two Year,0476-UFII,Yes,Female,No,10-May,Yes,yes,0,Credit Card,365-9011,No,MN,No,No,32,59,0,$32.00 ,$0.00 ,9,0,0,$32 ,$0 ,256,265.6,64,126.1,$30.00 ,0,960
40,,No,,Two Year,9560-DMCL,No,Female,No,0-5,No,no,0,Direct Debit,338-9472,No,UT,No,No,46,40,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,118,369.6,$12.00 ,0,543
25,,No,,Month-to-Month,5297-BENZ,Yes,Male,No,>10,No,no,0,Credit Card,374-8042,No,TX,Yes,Yes,11,29,0,$0.00 ,$0.00 ,14,0,0,$0 ,$0 ,0,0,81,166.7,$48.00 ,0,537
40,,No,,Month-to-Month,8822-KJPV,No,Male,No,0-5,No,no,0,Credit Card,359-1231,No,NJ,No,Yes,1,42,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,4,14,$27.00 ,0,27
20,,No,,One Year,5559-DOEH,No,Female,No,0-5,No,no,0,Direct Debit,413-7170,No,MN,Yes,No,53,24,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,228,695,$7.00 ,0,372
75,,No,,Two Year,0544-HTAB,Yes,Male,No,10-May,No,no,0,Direct Debit,415-2935,Yes,NM,No,Yes,64,76,0,$0.00 ,$0.00 ,5,0,0,$0 ,$0 ,0,0,94,254.4,$60.00 ,0,"3,811"
35,,No,,Two Year,1633-FVON,No,Male,No,0-5,No,no,0,Direct Debit,399-4246,No,NV,No,No,59,39,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,300,587.5,$11.00 ,0,674
70,,No,,One Year,1299-WYLC,Yes,Female,No,>10,No,no,0,Direct Debit,350-8921,Yes,MN,No,Yes,56,70,0,$0.00 ,$0.00 ,10,0,0,$0 ,$0 ,0,0,168,500,$61.00 ,0,"3,397"
50,,No,,One Year,1712-GSRD,No,Female,No,0-5,No,no,0,Credit Card,374-5353,No,DC,No,Yes,48,54,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,251,724.8,$30.00 ,0,"1,434"
85,,No,,One Year,9518-SUYQ,No,Male,No,0-5,No,no,0,Direct Debit,355-8887,Yes,MN,No,Yes,28,85,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,108,282.4,$28.00 ,0,796
45,,No,,One Year,2605-TOXT,No,Female,No,0-5,No,no,0,Credit Card,333-1967,No,MD,No,No,47,47,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,116,281.8,$16.00 ,0,755
35,,No,,Month-to-Month,3733-EZWS,Yes,Female,No,10-May,No,no,0,Direct Debit,411-1530,No,GA,No,No,42,37,0,$51.00 ,$0.00 ,9,0,0,$51 ,$0 ,0,0,96,291.8,$59.00 ,0,"2,452"
30,,No,,Two Year,6341-KAZD,No,Female,No,0-5,No,no,0,Direct Debit,395-3026,No,TX,No,No,48,34,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,96,289.8,$7.00 ,0,340
25,,No,,Month-to-Month,9484-NQCR,No,Male,No,>10,No,no,0,Credit Card,388-6441,No,VT,Yes,Yes,9,29,0,$0.00 ,$0.00 ,14,0,0,$0 ,$0 ,0,0,45,148,$47.00 ,0,439
55,,No,,One Year,6102-OALZ,No,Female,No,10-May,No,no,0,Direct Debit,402-1251,No,IN,No,Yes,36,55,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,248,534.7,$22.00 ,0,786
20,,No,,Two Year,9351-ELBM,No,Female,No,0-5,No,no,0,Direct Debit,412-9997,No,WV,Yes,No,51,24,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,292,767.8,$12.00 ,0,638
60,,No,,Two Year,7023-YWYM,No,Female,No,0-5,No,no,0,Credit Card,346-7302,No,KY,No,No,46,60,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,145,325.3,$13.00 ,0,616
45,,No,,Month-to-Month,0993-JKUA,No,Male,No,0-5,No,no,0,Credit Card,358-9095,No,NJ,No,Yes,30,46,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,67,179.4,$19.00 ,0,577
75,,No,,One Year,1629-PDTQ,No,Male,No,0-5,No,no,0,Direct Debit,334-1275,Yes,LA,No,Yes,1,76,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,3,7,$42.00 ,0,42
60,,No,,Two Year,3558-BXMZ,Yes,Male,No,10-May,No,no,0,Credit Card,340-4953,No,AR,No,Yes,68,61,0,$0.00 ,$0.00 ,9,0,0,$0 ,$0 ,0,0,254,612.2,$47.00 ,0,"3,187"
45,,No,,Month-to-Month,0388-CPEE,Yes,Female,No,10-May,No,no,0,Credit Card,400-9510,No,ME,No,Yes,64,48,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,274,768,$48.00 ,0,"3,049"
55,,No,,Two Year,2562-HWYM,Yes,Male,No,0-5,No,no,0,Direct Debit,387-6103,No,AZ,No,Yes,74,56,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,407,"1,108.90",$44.00 ,0,"3,237"
45,,No,,One Year,3797-KBSC,No,Male,No,>10,No,no,0,Credit Card,370-3450,No,MT,No,Yes,71,48,0,$0.00 ,$0.00 ,13,0,0,$0 ,$0 ,0,0,136,355.2,$31.00 ,0,"2,180"
65,,No,,Two Year,8928-KDDO,No,Male,No,0-5,No,no,0,Direct Debit,355-6291,Yes,MS,No,No,53,66,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,146,316.3,$7.00 ,0,372
15,,No,,Month-to-Month,5582-SNME,No,Male,No,0-5,No,no,0,Credit Card,379-6506,No,IA,Yes,No,1,19,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,5,12,$12.00 ,0,12
30,,No,,One Year,7652-MWGQ,Yes,Male,No,>10,No,no,0,Direct Debit,354-3783,No,VT,No,Yes,38,33,0,$0.00 ,$0.00 ,11,0,0,$0 ,$0 ,0,0,197,417.5,$63.00 ,0,"2,392"
65,,No,,One Year,9413-CTHP,Yes,Female,No,0-5,No,no,0,Direct Debit,401-7594,Yes,KY,No,Yes,66,69,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,349,864,$26.00 ,0,"1,739"
30,,No,,Month-to-Month,1874-MSLN,No,Male,No,0-5,No,no,0,Credit Card,334-2577,No,AZ,No,Yes,4,34,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,11,33,$15.00 ,0,63
25,,No,,One Year,4455-SIDH,No,Female,No,>10,No,no,0,Direct Debit,400-3637,No,MI,Yes,Yes,70,27,0,$0.00 ,$0.00 ,12,0,0,$0 ,$0 ,0,0,236,701.2,$66.00 ,0,"4,593"
55,,No,,One Year,1457-BNEN,No,Female,No,0-5,No,no,0,Credit Card,383-4361,No,NM,No,Yes,31,58,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,213,400,$13.00 ,0,407
50,,No,,One Year,2274-VJTM,No,Male,No,0-5,No,no,0,Credit Card,371-4306,No,CO,No,Yes,42,54,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,195,457.2,$62.00 ,0,"2,556"
35,,No,,Two Year,2030-STOC,No,Male,No,0-5,No,no,0,Credit Card,403-4298,No,UT,No,No,70,37,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,199,491.9,$12.00 ,0,875
35,,No,,One Year,0334-QKJY,Yes,Female,No,0-5,No,no,0,Credit Card,337-4697,No,MA,No,Yes,52,38,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,0,0,222,577.5,$37.00 ,0,"1,939"
35,,No,,Month-to-Month,8840-GNVV,Yes,Female,No,10-May,No,no,0,Direct Debit,383-1509,No,AL,No,Yes,43,35,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,211,474.6,$57.00 ,0,"2,451"
50,,No,,Two Year,8778-MXAA,No,Female,No,10-May,No,no,0,Direct Debit,407-7035,No,AZ,No,Yes,63,51,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,249,564.3,$27.00 ,0,"1,699"
65,,No,,Two Year,6377-YEVD,No,Female,No,10-May,No,no,0,Direct Debit,391-4652,Yes,NJ,No,Yes,36,65,0,$0.00 ,$0.00 ,9,0,0,$0 ,$0 ,0,0,235,399,$11.00 ,0,410
50,,No,,Two Year,0111-ULQC,No,Female,No,0-5,No,no,0,Credit Card,409-1244,No,MO,No,No,40,51,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,118,242.7,$13.00 ,0,525
25,,No,,One Year,0921-JRAS,Yes,Female,No,>10,No,no,0,Credit Card,352-7072,No,NE,Yes,Yes,55,27,0,$0.00 ,$0.00 ,24,0,0,$0 ,$0 ,0,0,89,276.3,$39.00 ,0,"2,146"
30,,No,,Month-to-Month,4190-OQWW,No,Female,No,0-5,No,no,0,Credit Card,370-7550,No,TX,No,No,5,34,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,34,76.3,$10.00 ,0,56
55,,No,,Two Year,1772-EVXU,No,Male,No,10-May,No,no,0,Direct Debit,354-4445,No,AZ,No,Yes,34,57,0,$0.00 ,$0.00 ,5,0,0,$0 ,$0 ,0,0,85,306.3,$44.00 ,0,"1,497"
45,,No,,Two Year,4640-ROSI,No,Male,No,0-5,No,no,0,Direct Debit,414-8718,No,MS,No,No,73,49,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,542,"1,171.30",$13.00 ,0,946
40,,No,,Month-to-Month,7232-MRQS,No,Male,No,0-5,No,no,0,Credit Card,409-5939,No,TX,No,No,1,44,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,6,13,$13.00 ,0,13
75,,No,,One Year,1736-FGSI,No,Male,No,10-May,No,no,0,Direct Debit,331-4902,Yes,NE,No,Yes,71,78,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,296,706,$29.00 ,0,"2,045"
45,,No,,Month-to-Month,1908-BNLT,No,Female,No,10-May,No,no,0,Direct Debit,353-6870,No,NE,No,Yes,14,48,0,$0.00 ,$0.00 ,7,0,0,$0 ,$0 ,0,0,58,127.3,$35.00 ,0,502
60,,No,,Two Year,9998-OFMS,No,Male,No,0-5,No,no,0,Direct Debit,390-6101,No,NJ,No,Yes,64,64,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,263,644.9,$32.00 ,0,"2,034"
40,,No,,Two Year,4988-DNKW,No,Female,No,0-5,Yes,yes,0,Credit Card,387-2919,No,AL,No,No,46,41,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,138,515.2,164,416.1,$17.00 ,0,768
40,,No,,Month-to-Month,8781-YXBL,No,Female,No,>10,No,no,0,Direct Debit,374-8525,No,NY,No,Yes,24,40,0,$0.00 ,$0.00 ,11,0,0,$0 ,$0 ,0,0,131,355.7,$28.00 ,0,672
20,,No,,Two Year,4923-PXAV,No,Female,No,0-5,No,no,0,Credit Card,379-5592,No,FL,Yes,No,63,23,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,211,506,$9.00 ,0,595
60,,No,,Two Year,1867-FBPS,No,Male,No,0-5,No,no,0,Credit Card,345-8237,No,AK,No,No,60,62,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,210,537.5,$13.00 ,0,754
65,,No,,Two Year,5088-QWNF,Yes,Female,No,0-5,No,no,0,Credit Card,346-2359,Yes,DE,No,Yes,73,68,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,265,729.8,$38.00 ,0,"2,808"
35,,No,,Two Year,5570-GABM,No,Female,No,>10,No,no,0,Direct Debit,381-4756,No,MI,No,Yes,59,38,0,$0.00 ,$0.00 ,11,0,0,$0 ,$0 ,0,0,152,354.6,$59.00 ,0,"3,479"
30,,No,,One Year,4316-MSBV,No,Male,No,0-5,No,no,0,Credit Card,390-2805,No,VT,No,Yes,63,33,0,$0.00 ,$0.00 ,4,0,0,$0 ,$0 ,0,0,84,313.7,$40.00 ,0,"2,535"
70,,No,,Two Year,1501-UIMO,No,Male,No,0-5,Yes,yes,0,Direct Debit,390-2390,Yes,VT,No,No,73,70,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,511,"1,029.30",124,366.6,$8.00 ,0,621
50,,No,,Two Year,5637-EXFL,No,Female,No,0-5,No,no,0,Credit Card,419-9097,No,MI,No,Yes,65,54,0,$0.00 ,$0.00 ,3,0,0,$0 ,$0 ,0,0,121,259.1,$55.00 ,0,"3,552"
45,,No,,One Year,9631-SNXG,No,Male,No,0-5,No,no,0,Credit Card,386-7281,No,WA,No,No,3,45,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,4,12.5,$9.00 ,0,27
50,,No,,One Year,9797-UVHV,Yes,Male,No,0-5,No,no,0,Credit Card,390-8760,No,LA,No,No,30,50,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,146,329.1,$42.00 ,0,"1,259"
25,,No,,One Year,6677-UAIY,Yes,Female,No,>10,No,no,0,Credit Card,336-7600,No,OH,Yes,Yes,73,29,0,$0.00 ,$0.00 ,16,0,0,$0 ,$0 ,0,0,170,366.6,$36.00 ,0,"2,676"
45,,No,,Two Year,3213-OZLH,Yes,Male,No,10-May,No,no,0,Direct Debit,383-6293,No,RI,No,Yes,61,49,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,211,484.6,$32.00 ,0,"1,956"
25,,No,,Month-to-Month,9462-HMVN,No,Female,No,10-May,No,no,0,Direct Debit,370-9116,No,OH,Yes,No,22,25,0,$34.00 ,$0.00 ,8,0,0,$34 ,$0 ,0,0,115,281.5,$43.00 ,0,924
35,,No,,One Year,6951-KCHP,No,Male,No,0-5,No,no,0,Credit Card,328-6289,No,VA,No,No,21,36,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,103,270.9,$8.00 ,0,169
40,,No,,Two Year,0603-QZRV,Yes,Male,No,10-May,No,no,0,Credit Card,350-9994,No,MO,No,Yes,16,41,0,$0.00 ,$0.00 ,9,0,0,$0 ,$0 ,0,0,85,239.1,$24.00 ,0,386
40,,No,,Two Year,1476-JLHH,No,Male,No,0-5,No,no,0,Direct Debit,351-4616,No,FL,No,No,10,43,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,77,137.1,$15.00 ,0,142
50,,No,,Month-to-Month,4549-UHYE,No,Female,No,0-5,No,no,0,Direct Debit,406-4710,No,IA,No,Yes,2,52,0,$0.00 ,$0.00 ,2,0,0,$0 ,$0 ,0,0,4,11.6,$35.00 ,0,68
35,,No,,Two Year,3163-BOSK,Yes,Male,No,0-5,No,no,0,Direct Debit,409-8743,No,MI,No,Yes,54,38,0,$0.00 ,$0.00 ,1,0,0,$0 ,$0 ,0,0,330,642.7,$43.00 ,0,"2,293"
20,,No,,One Year,2547-NBGO,No,Female,No,0-5,No,no,0,Credit Card,335-4584,No,OK,Yes,No,11,21,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,84,159,$10.00 ,0,117
40,,No,,Two Year,5341-UWGY,No,Male,No,0-5,No,no,0,Credit Card,361-9845,No,DE,No,No,69,43,0,$0.00 ,$0.00 ,0,0,0,$0 ,$0 ,0,0,248,753.7,$10.00 ,0,695
35,,No,,Two Year,9859-GGCF,Yes,Male,No,10-May,No,no,0,Direct Debit,329-9364,No,DC,No,Yes,70,38,0,$0.00 ,$0.00 ,6,0,0,$0 ,$0 ,0,0,342,913.1,$52.00 ,0,"3,654"
55,,No,,One Year,4822-HGQI,Yes,Male,No,>10,No,no,0,Direct Debit,338-9398,No,CO,No,Yes,42,59,0,$0.00 ,$0.00 ,11,0,0,$0 ,$0 ,0,0,151,336.1,$42.00 ,0,"1,778"
